Trap,group,population,Anochetus,Apterostigma,Carebara,Crematogaster,Cyphomyrmex,Gnamptogenys,Hylomyrma,Hypoponera,Myrmicocrypta,Octostruma,Pheidole,Rogeria,Sericomyrmex,Solenopsis,Strumigenys,Trachymyrmex,Wasmannia
Winkler,leaf,c_colon,0,0,9,0,0,0,0,0,4,2,15,3,0,1,2,0,31
Winkler,leaf,c_colon,0,0,0,0,0,0,1,0,0,3,14,0,0,0,1,0,1
Winkler,leaf,c_colon,0,0,0,0,0,1,0,0,0,1,10,1,0,4,1,0,0
Winkler,leaf,c_colon,0,0,0,0,0,0,0,1,0,1,1,0,0,4,0,0,49
Winkler,leaf,c_colon,0,0,0,0,0,0,0,3,0,1,2,0,0,5,0,0,24
Winkler,leaf,c_colon,0,0,0,0,0,0,0,0,0,1,3,0,0,7,1,0,0
Winkler,leaf,c_colon,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,47
Winkler,leaf,c_colon,0,0,0,0,14,0,0,0,0,1,0,0,0,3,0,0,6
Winkler,leaf,c_colon,0,0,0,0,0,1,0,0,0,0,16,0,0,3,0,0,0
Winkler,leaf,c_colon,0,0,0,0,9,0,1,0,0,0,7,0,0,61,0,0,0
Winkler,leaf,c_colon,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Winkler,leaf,c_colon,0,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,38
Winkler,leaf,c_colon,0,0,0,0,1,1,0,1,0,0,17,0,0,3,0,0,12
Winkler,leaf,c_colon,0,0,0,0,2,0,0,1,0,1,6,0,0,3,0,0,1
Winkler,leaf,c_colon,0,0,3,0,0,0,0,0,0,2,18,0,0,3,1,0,45
Winkler,leaf,c_colon,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,15
Winkler,leaf,c_colon,0,0,0,0,0,0,1,0,0,0,9,0,0,5,0,0,4
Winkler,leaf,c_colon,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,6
Winkler,leaf,c_colon,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,8
Winkler,leaf,c_colon,0,0,0,0,0,0,0,2,0,0,11,0,0,3,0,0,4
Pitfall,leaf,ceiba,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
Pitfall,leaf,ceiba,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4
Pitfall,leaf,ceiba,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pitfall,leaf,ceiba,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
Pitfall,leaf,ceiba,1,0,3,0,0,0,0,0,0,0,4,0,0,1,0,0,0
Pitfall,leaf,ceiba,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
