Subfamily,Genus,CODE,HeadW,HeadL,ClypeusL,MandibleL,HindFemurL,ScapeL,WebersL,PronotumW,InterOcularW,EyeL,BodyL,Sculpturing,Pilosity,nSpines,ColourHead,Colour Mesosoma,ColourGaster
Myrmicinae,Acanthognathus,ANT-938,0.62,0.89,0.27,0.93,0.62,0.62,0.78,0.38,0.44,0.11,4.13,1,6,2,21,22,22
Formicinae,Acropyga,ANT-1410,0.47,0.51,0.27,0.29,0.36,0.33,0.49,0.31,0.38,0.04,1.91,1,53,0,19,19,20
Formicinae,Acropyga,ANT-1575,0.51,0.62,0.18,0.33,0.33,0.27,0.53,0.22,0.38,0.02,1.8,1,2,0,17,17,17
Ponerinae,Anochetus,ANT-761,0.87,0.84,0.29,0.51,0.69,0.58,1.09,0.47,0.6,0.11,3.56,2,50,2,23,24,23
Ponerinae,Anochetus,ANT-738,1.18,1.2,0.13,0.89,1.18,1.11,1.62,0.62,0.87,0.18,5.58,2,35,4,20,19,20
Ponerinae,Anochetus,ANT-814,0.91,1.07,0.4,0.73,1.02,0.91,1.62,0.71,0.62,0.22,NA,2,65,4,24,24,NA
Myrmicinae,Apterostigma,ANT-063,0.82,0.91,0.18,0.53,2,1,1.67,0.58,0.58,0.16,4.76,3,216,0,23,23,24
Myrmicinae,Apterostigma,ANT-315,0.82,0.82,0.18,0.51,1,0.87,1.51,0.56,0.6,0.18,4.36,2,122,0,1,1,1
Myrmicinae,Apterostigma,ANT-1538,1.03,1.2,0.25,0.68,1.88,1.18,1.95,0.8,0.75,0.2,5.23,2,128,0,21,21,21
Myrmicinae,Apterostigma,ANT-358,0.69,0.87,0.13,0.42,1.09,0.67,1.16,0.51,0.58,0.09,3.67,2,88,0,24,23,24
Myrmicinae,Apterostigma,ANT-681,0.76,0.84,0.22,0.42,1.07,0.69,1.31,0.53,0.58,0.16,3.91,2,166,0,1,24,24
Myrmicinae,Apterostigma,ANT-726,0.73,0.89,0.2,0.49,1.11,0.78,1.31,0.53,0.6,0.13,3.98,2,146,0,24,23,24
Myrmicinae,Apterostigma,ANT-1233,0.91,1.11,0.22,0.58,1.67,0.73,1.64,0.62,0.71,0.18,4.8,3,148,0,1,23,1
Myrmicinae,Apterostigma,ANT-381,0.69,0.89,0.18,0.4,1.11,0.73,1.18,0.49,0.58,0.13,3.78,3,103,0,1,23,1
Myrmicinae,Apterostigma,ANT-831,0.78,0.84,0.11,0.44,1.22,0.73,1.33,0.51,0.62,0.16,4.04,2,196,0,1,24,24
Myrmicinae,Apterostigma,ANT-1400,0.78,0.91,0.13,0.51,1.29,0.67,1.33,0.53,0.6,0.07,2.8,3,112,0,1,24,1
Myrmicinae,Apterostigma,ANT-882,0.84,0.96,0.22,0.47,1.58,0.89,1.56,0.56,0.64,0.16,2.78,3,78,0,1,24,24
